一头	i1 t ou2
十	sh ii2
其	q i2
体育用品	t i3 v4 io4 ng p i3 n
从	c o2 ng
器械	q i4 j ie4
武装	u3 zh ua1 ng
构思	g ou4 s ai1
必须	b i4 x v1
一	i1
农户	n o2 ng h u4
游泳	iou2 io3 ng
耕牛	g e1 ng n iu2
到	d ao4
文体	ue2 n t i3
用	io4 ng
上	sh a4 ng
美文	m ei3 ue2 n
种	zh o4 ng
四百	s ii4 b ai3
何地	h e2 d i4
至	zh ii4
散文	s a4 n ue2 n
体育	t i3 v4
站岗	zh a4 n g a3 ng
而今	e2 r j i1 n
出于	ch u1 v2
八十年代	b a1 sh ii2 n ia2 n d ai4
又	iou4
文采	ue2 n c ai3
没有	m ei2 iou3
警卫	j i3 ng uei4
讲求	j ia3 ng q iu2
保证	b ao3 zh e4 ng
员村	va2 n c ue1 n
经营	j i1 ng i2 ng
五十多	u3 sh ii2 d uo1
多头	d uo1 t ou2
王村	ua2 ng c ue1 n
因	i1 n
运动	v4 n d o4 ng
颇具	p o3 j v4
以	i3
语言	v3 ia2 n
和	h e2
包罗万象	b ao1 l uo2 ua4 n x ia4 ng
围	uei2
七百	q i1 b ai3
出发	ch u1 f a1
也	ie3
运动员	v4 n d o4 ng va2 n
喀布尔	b u4 e3 r
之	zh ii1
外交官	uai4 j iao1 g ua1 n
意境	i4 j i4 ng
国务院	g uo2 u4 va4 n
有	iou3
户	h u4
利生	l i4 sh e1 ng
前往	q ia2 n ua3 ng
应有尽有	i1 ng iou3 j i4 n iou3
谁	sh uei2
绝对安全	j ve2 d uei4 a1 n q va2 n
拥有	io1 ng iou3
在	z ai4
不	b u4
的	d i4
像	x ia4 ng
与	v2
魅力	m ei4 l i4
五百	u3 b ai3
仅	j i3 n
称	ch e1 ng
透露	t ou4 l u4
小	x iao3
可以说	k e3 i3 sh uo1
安全	a1 n q va2 n
是	sh ii4
铁栏杆	t ie3 l a2 n g a3 n
这位	zh ei4 uei4
大型	d a4 x i2 ng
考虑	k ao3 l v4
起来	q i5 l ai5
大	d a4
将	j ia1 ng
耳塞	e3 r s ai1
张	zh a4 ng
